"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Leaf_VIS_Spectral_Absorption"
"BNL12878","FLMM","PSR+3500","CAL-CAN","Calycophyllum","candidissimum","Upper","231.115933217196","20170305",0.931131964128662
"BNL12879","FLMM","PSR+3500","CAL-CAN","Calycophyllum","candidissimum","Upper","99.910328411503","20170305",0.936596850120429
"BNL12880","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","63.9192495513136","20170305",0.911972219323209
"BNL12881","FLMM","PSR+3500","COR-DEN","Cordia","dentata","Upper","111.439123656522","20170305",0.918150445433347
"BNL12882","FLMM","PSR+3500","COR-DEN","Cordia","dentata","Upper","18.4045223186029","20170305",0.830080108297892
"BNL12883","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","147.683284516718","20170305",0.914055316452034
"BNL12884","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","39.7718082496005","20170305",0.884767399604451
"BNL12885","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","157.292547295134","20170305",0.921124601760015
"BNL12886","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","130.347640817372","20170305",0.948458507998864
"BNL12887","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","253.719794903203","20170305",0.94949756591807
"BNL12888","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","231.903958966492","20170305",0.951128412396313
"BNL12889","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","154.531843920518","20170305",0.931648112901873
"BNL12890","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","0.027702317540191","20170305",0.940526614093401
"BNL12891","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","5.84878015778391","20170305",0.953291466865101
"BNL12892","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","53.9530257340795","20170305",0.950906059226363
"BNL12893","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","17.8777822136198","20170305",0.884477647234395
