"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Red","Blue","Far_Red"
"BNL12893","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","17.8777822136198","20170305",0.837785293999807,0.951216274888664,0.357468739874503
"BNL12894","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","77.2900137739565","20170305",0.935887503517481,0.958221175484937,0.230658755293461
"BNL12895","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","190.971630182651","20170305",0.945643015640658,0.958793976036957,0.28033212662858
"BNL12896","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","11.6426891841285","20170305",0.94316992134198,0.958891774651003,0.228389205895043
"BNL12897","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","27.8104236827116","20170305",0.929830839818933,0.958064218931552,0.193475574542989
"BNL12898","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","11.4676063550165","20170305",0.963621411042549,0.959398019684006,0.339769500218498
"BNL12900","FLMM","PSR+3500","BYR-LUC","Byrsonima","lucida","Upper","192.117010966133","20170305",0.951480767834583,0.959085614095235,0.271130773153732
"BNL12711","FLMM","HR-1024i","MAM-AMA","Mammea","americana",NA,"209.70403375511","20170305",0.956166020431118,0.959200236389659,0.36247479252873
"BNL12712","FLMM","HR-1024i","MAM-AMA","Mammea","americana","Upper","238.711732607577","20170305",0.959805372508409,0.95932907948231,0.389935370536553
"BNL12713","FLMM","HR-1024i","MAM-AMA","Mammea","americana","Upper","122.482287777205","20170305",0.950631317686931,0.959150442560776,0.293925375988791
"BNL12714","FLMM","HR-1024i","MAM-AMA","Mammea","americana","Upper","115.173293193664","20170305",0.941171856136777,0.95873849527152,0.284032113499316
"BNL12715","FLMM","HR-1024i","TRI-HIR","Trichilia","hirta","Upper","162.9116838549","20170305",0.938283735061857,0.95866511824685,0.211588744968828
"BNL12716","FLMM","HR-1024i","LYS-SAB","Lysiloma","sabicu","Upper","151.277845433333","20170305",0.946876304843699,0.959023461442764,0.26571024569266
"BNL12862","CAM II","HR-1024i","CHR-PAU","Chrysophyllum","pauciflorum","Mid","132.581731951136","20170305",0.927907183211011,0.9578170628664,0.199384458193084
"BNL12863","CAM II","HR-1024i","LIC-PAR","Licaria","parvifolia (Lam.) Kosterm.","Upper","427.019555713193","20170305",0.957708827082625,0.959320882587004,0.415981164114773
"BNL12864","CAM II","HR-1024i","LIC-PAR","Licaria","parvifolia (Lam.) Kosterm.","Upper","121.721835517207","20170305",0.845766542533633,0.952547034961903,0.172577316542919
"BNL12865","CAR I","HR-1024i","KRU-FER","Krugiodendron","ferreum (Vahl) Urb.","Mid","352.824015601729","20170305",0.957583976255833,0.959330638960557,0.308293579357293
"BNL12866","CAM II","HR-1024i","GYM-LUC","Gymnanthes","lucida Sw.","Mid","156.007154381788","20170305",0.940664482739837,0.958816891915678,0.221756011221453
"BNL12867","FLMM","HR-1024i","AND-INE","Andira","inermis (MOCA)","Upper","223.531543919798","20170305",0.952465085141669,0.959141188653378,0.28826260192662
"BNL12868","FLMM","HR-1024i","BOU-SUC","Bourreria","succculenta","Lower","265.195948751385","20170305",0.916760871457729,0.956813602725699,0.242496101358226
"BNL12869","FLMM","HR-1024i","PIM-RAC","Pimenta","racemosa","Upper","157.229450776077","20170305",0.948331142371477,0.958974477538893,0.397508604057951
"BNL12870","FLMM","HR-1024i","BOU-SUC","Bourreria","succculenta","Upper","56.3594970753518","20170305",0.845477914530075,0.945733579884296,0.168479778836058
"BNL12871","FLMM","HR-1024i","BOU-SUC","Bourreria","succculenta","Upper","571.72454147697","20170305",0.881104241199004,0.950621511473531,0.356594106048902
"BNL12872","FLMM","PSR+3500","BOU-SUC","Bourreria","succculenta","Upper","62.7030056304907","20170305",0.885922967369921,0.953981790674998,0.178694803270405
"BNL12873","FLMM","PSR+3500","MAM-AME","Mammea","americana","Lower","106.71914669693","20170305",0.913150451791266,0.956084421483618,0.210463320578984
"BNL12874","FLMM","PSR+3500","MAM-AME","Mammea","americana","Lower","89.0995889286909","20170305",0.941099468920766,0.958537172648039,0.226908690696215
"BNL12875","FLMM","PSR+3500","BUR-SIM","Bursera","simaruba","Upper","208.902740638042","20170305",0.936827906995062,0.958415477044999,0.242351220266234
"BNL12876","FLMM","PSR+3500","BUR-SIM","Bursera","simaruba","Upper","90.7545067553036","20170305",0.851960593733073,0.950903311616785,0.13585426588628
"BNL12877","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense","Upper","283.441358587245","20170305",0.940597910859859,0.959112169606478,0.250621516865235
"BNL12878","FLMM","PSR+3500","CAL-CAN","Calycophyllum","candidissimum","Upper","252.643239180346","20170305",0.919946559183091,0.957793361586121,0.234546834846693
"BNL12879","FLMM","PSR+3500","CAL-CAN","Calycophyllum","candidissimum","Upper","109.679332918515","20170305",0.935079356176486,0.958297930638968,0.206669964439019
"BNL12880","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","78.3472343571783","20170305",0.9051171302519,0.956063170209697,0.172726437609695
"BNL12881","FLMM","PSR+3500","COR-DEN","Cordia","dentata","Upper","119.580375251131","20170305",0.916247148796904,0.957090734410948,0.193470524644268
"BNL12882","FLMM","PSR+3500","COR-DEN","Cordia","dentata","Upper","29.8106378902436","20170305",0.824733487000095,0.946496412540757,0.143455871419931
