SampleID,Site,Latitude,Longitude,Sample_Type,Date,Species_Number,Species_ID,Full_Species_Name,Genus,Species,Leaf_Age,Canopy_Position,Light_Exposure
BNL12759,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-2 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Mature-Old,Upper,Sunlit
BNL12759T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-2 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Mature-Old,Upper,Sunlit
BNL12760,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-3 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Old,Upper,Sunlit
BNL12760T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-3 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Old,Upper,Sunlit
BNL12761,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-1 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Young,Upper,Sunlit
BNL12761T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-1 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Young,Upper,Sunlit
BNL12762,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-2 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Young,Upper,Sunlit
BNL12762T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-2 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Young,Upper,Sunlit
BNL12763,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-3 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Young,Upper,Sunlit
BNL12763T,IITF,18.38923,-66.05525,GasEx / Fs,20170307,5-3 (IITF parking),CAL-ANT,Calophyllum antillanum,Calophyllum,antillanum,Young,Upper,Sunlit
